# 558f5b70-e1a4-4eb3-87df-261eead726fd
# 447dd4e522d5f650aade7d90cbcf15a5d2ed6878
# x_m,y_m,vx_mps,s_m,psi_rad,kappa_radpm,ax_mps2
11.6247663,14.6679494,3.7036860,27.5585936,-2.7194828,0.1919279,5.0249207
11.7098002,14.4861492,3.9653805,27.7582936,-2.6929251,0.0675318,4.9846743
11.7968423,14.3064509,4.2089335,27.9579935,-2.6924833,-0.0640461,4.9447502
11.8822867,14.1241066,4.4373476,28.1576935,-2.7187460,-0.1982040,3.7024995
11.9591300,13.9415088,4.6009599,28.3573934,-2.7728317,-0.3436088,0.3016955
12.0249403,13.7515140,4.6140361,28.5570934,-2.8441849,-0.3651509,-0.2007432
12.0761398,13.5595594,4.6053395,28.7567933,-2.9176283,-0.3603351,-0.0677200
12.1137174,13.3637531,4.6024021,28.9564933,-2.9846464,-0.3093705,1.0221065
12.1391902,13.1660225,4.6465400,29.1561932,-3.0401933,-0.2461328,2.2529494
12.1549618,12.9671590,4.7423793,29.3558932,-3.0823812,-0.1767965,3.5728125
12.1636890,12.7678019,4.8905156,29.5555931,-3.1111345,-0.1115221,4.8203782
12.1679739,12.5681408,5.0835422,29.7552931,-3.1270435,-0.0486355,4.7817700
12.1703138,12.3683104,5.2680395,29.9549931,-3.1307152,0.0116813,4.7434711
12.1731101,12.1686471,5.4448858,30.1546930,-3.1225135,0.0703096,4.7054790
12.1787120,11.9689434,5.6148152,30.3543930,-3.1027050,0.1254137,3.4139801
12.1892710,11.7695214,5.7349536,30.5540929,-3.0731910,0.1702222,1.7418928
12.2064979,11.5706705,5.7952916,30.7537929,-3.0370335,0.1773093,1.3714923
12.2307453,11.3723905,5.8423607,30.9534928,-3.0033749,0.1595358,1.8700476
12.2611389,11.1753041,5.9059356,31.1531928,-2.9749471,0.1251488,2.9353321
12.2964944,10.9787596,6.0043690,31.3528927,-2.9534473,0.0897623,4.0408737
12.3353629,10.7828926,6.1372935,31.5525927,-2.9391411,0.0537028,4.5446583
12.3762773,10.5876861,6.2834312,31.7522926,-2.9320778,0.0166092,4.5082585
12.4180073,10.3918422,6.4251152,31.9519926,-2.9324547,-0.0200661,4.4721503
12.4586899,10.1969797,6.5626429,32.1516925,-2.9403958,-0.0593659,-3.7676216
12.4972325,10.0008032,6.4469756,32.3513925,-2.9560774,-0.0984204,-3.1939704
12.5318396,9.8042825,6.3472689,32.5510925,-2.9798450,-0.1393458,-1.9050260
12.5609810,9.6069126,6.2870467,32.7507924,-3.0113160,-0.1742514,-0.7863547
12.5833083,9.4080875,6.2620193,32.9504924,-3.0492071,-0.2040146,-0.7863547
12.5976245,9.2095483,6.2368915,33.1501923,-3.0894854,-0.1929189,-0.2843746
